Sample,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,total
wt,11.08,73.311,215.248,17.674,63.378,9.053,0.712,7.672,0.773,3.077,0.514,0.331,0.152,0.927,0.13,404.032
wt,11.166,74.605,219.973,17.893,64.915,9.25,0.721,7.785,0.787,3.108,0.524,0.361,0.155,0.947,0.133,412.323
wt,10.737,71.715,212.815,17.301,62.47,8.933,0.696,7.489,0.755,3.004,0.499,0.305,0.149,0.9,0.127,397.895
P_{112}:{\it mgdh},13.433,79.377,252.366,19.255,70.508,10.168,0.8,8.788,0.891,3.627,0.62,0.627,0.187,1.131,0.158,461.936
P_{112}:{\it mgdh},13.637,80.284,258.133,19.567,73.05,10.344,0.809,8.886,0.91,3.674,0.625,0.641,0.189,1.149,0.16,472.058
P_{112}:{\it mgdh},14.306,84.723,271.037,20.854,76.677,10.847,0.85,9.311,0.958,3.874,0.662,0.728,0.199,1.197,0.17,496.393
{\Delta \it pstS},17.465,95.574,303.51,23.074,86.399,12.247,0.953,10.514,1.077,4.437,0.762,0.989,0.227,1.392,0.194,558.814
{\Delta \it pstS},17.214,95.989,304.687,23.377,87.692,12.212,0.972,10.484,1.075,4.401,0.751,0.96,0.229,1.376,0.191,561.61
{\Delta \it pstS},14.141,82.481,258.822,20.061,73.569,10.462,0.831,8.997,0.922,3.744,0.641,0.667,0.194,1.167,0.163,476.862
"{\Delta \it pstS}, P_{112}:{\it mgdh}",21.501,107.979,367.161,26.167,98.297,14.081,1.129,12.226,1.286,5.361,0.929,1.446,0.283,1.717,0.237,659.8
"{\Delta \it pstS}, P_{112}:{\it mgdh}",19.201,96.366,327.838,23.496,87.977,12.526,1,11.011,1.156,4.795,0.827,1.178,0.254,1.517,0.211,589.353
"{\Delta \it pstS}, P_{112}:{\it mgdh}",20.269,100.298,338.525,24.421,91.008,13.058,1.041,11.395,1.19,4.967,0.859,1.256,0.264,1.574,0.219,610.344
,,,,,,,,,,,,,,,,
,,73.2103333333333,216.012,17.6226666666667,63.5876666666667,,,,,,,,,,,404.75
,,,,,,,,,,,,,,,,
% difference,,La,Ce,Pr,Nd,,,,,,,,,,,Total
wt,,0.14,-0.35,0.29,-0.33,,,,,,,,,,,-0.18
wt,,1.91,1.83,1.53,2.09,,,,,,,,,,,1.87
wt,,-2.04,-1.48,-1.83,-1.76,,,,,,,,,,,-1.69
P_{112}:{\it mgdh},,8.42,16.83,9.26,10.88,,,,,,,,,,,14.13
P_{112}:{\it mgdh},,9.66,19.50,11.03,14.88,,,,,,,,,,,16.63
P_{112}:{\it mgdh},,15.73,25.47,18.34,20.58,,,,,,,,,,,22.64
{\Delta \it pstS},,30.55,40.51,30.93,35.87,,,,,,,,,,,38.06
{\Delta \it pstS},,31.11,41.05,32.65,37.91,,,,,,,,,,,38.75
{\Delta \it pstS},,12.66,19.82,13.84,15.70,,,,,,,,,,,17.82
"{\Delta \it pstS}, P_{112}:{\it mgdh}",,47.49,69.97,48.48,54.59,,,,,,,,,,,63.01
"{\Delta \it pstS}, P_{112}:{\it mgdh}",,31.63,51.77,33.33,38.36,,,,,,,,,,,45.61
"{\Delta \it pstS}, P_{112}:{\it mgdh}",,37.00,56.72,38.58,43.12,,,,,,,,,,,50.80
