Sample,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Total
wt,11.08,73.311,215.248,17.67400,63.37800,9.053,0.712,7.672,0.773,3.077,0.514,0.331,0.152,0.927,0.13,404.032000
wt,11.166,74.605,219.973,17.89300,64.91500,9.25,0.721,7.785,0.787,3.108,0.524,0.361,0.155,0.947,0.133,412.323000
wt,10.737,71.715,212.815,17.30100,62.47000,8.933,0.696,7.489,0.755,3.004,0.499,0.305,0.149,0.9,0.127,397.895000
P_{tufB}:{\it mgdh},14.397,81.295,267.305,20.09000,73.55000,10.627,0.84,9.193,0.954,3.903,0.664,0.738,0.202,1.223,0.171,485.152000
P_{tufB}:{\it mgdh},14.533,83.316,273.787,20.51100,76.01500,10.721,0.85,9.362,0.963,3.935,0.668,0.753,0.204,1.243,0.173,497.034000
P_{tufB}:{\it mgdh},14.159,80.326,263.225,19.42500,73.45100,10.303,0.822,8.998,0.928,3.813,0.649,0.707,0.197,1.185,0.168,478.356000
P_{112}:{\it mgdh},13.433,79.377,252.366,19.25500,70.50800,10.168,0.8,8.788,0.891,3.627,0.62,0.627,0.187,1.131,0.158,461.936000
P_{112}:{\it mgdh},13.637,80.284,258.133,19.56700,73.05000,10.344,0.809,8.886,0.91,3.674,0.625,0.641,0.189,1.149,0.16,472.058000
P_{112}:{\it mgdh},14.306,84.723,271.037,20.85400,76.67700,10.847,0.85,9.311,0.958,3.874,0.662,0.728,0.199,1.197,0.17,496.393000
P_{114}:{\it mgdh},13.242,76.895,249.564,19.00900,68.21300,9.954,0.793,8.564,0.881,3.576,0.61,0.582,0.183,1.119,0.159,453.344000
P_{114}:{\it mgdh},13.83,80.662,260.465,19.85300,74.46000,10.403,0.815,8.909,0.915,3.699,0.638,0.654,0.192,1.165,0.163,476.823000
P_{114}:{\it mgdh},14.613,84.255,272.68,20.91100,77.76200,10.921,0.862,9.421,0.964,3.915,0.669,0.746,0.202,1.228,0.172,499.321000
{\Delta \it pstS},17.465,95.574,303.51,23.07400,86.39900,12.247,0.953,10.514,1.077,4.437,0.762,0.989,0.227,1.392,0.194,558.814000
{\Delta \it pstS},17.214,95.989,304.687,23.37700,87.69200,12.212,0.972,10.484,1.075,4.401,0.751,0.96,0.229,1.376,0.191,561.610000
{\Delta \it pstS},14.141,82.481,258.822,20.06100,73.56900,10.462,0.831,8.997,0.922,3.744,0.641,0.667,0.194,1.167,0.163,476.862000
"{\Delta \it pstS}, P_{tufB}:{\it mgdh}",19.112,97.01,329.91,23.50300,88.53000,12.61,1.007,11.011,1.155,4.799,0.83,1.177,0.252,1.523,0.216,592.645000
"{\Delta \it pstS}, P_{tufB}:{\it mgdh}",17.631,90.621,300.691,22.12600,82.10100,11.8,0.941,10.246,1.071,4.412,0.761,0.993,0.23,1.405,0.195,545.224000
"{\Delta \it pstS}, P_{tufB}:{\it mgdh}",17.357,90.964,299.836,21.88000,81.62400,11.657,0.922,10.093,1.056,4.35,0.745,0.961,0.229,1.375,0.192,543.241000
"{\Delta \it pstS}, P_{112}:{\it mgdh}",21.501,107.979,367.161,26.16700,98.29700,14.081,1.129,12.226,1.286,5.361,0.929,1.446,0.283,1.717,0.237,659.800000
"{\Delta \it pstS}, P_{112}:{\it mgdh}",19.201,96.366,327.838,23.49600,87.97700,12.526,1,11.011,1.156,4.795,0.827,1.178,0.254,1.517,0.211,589.353000
"{\Delta \it pstS}, P_{112}:{\it mgdh}",20.269,100.298,338.525,24.42100,91.00800,13.058,1.041,11.395,1.19,4.967,0.859,1.256,0.264,1.574,0.219,610.344000
"{\Delta \it pstS}, P_{114}:{\it mgdh}",15.94,85.172,277.759,20.83600,77.90900,10.899,0.86,9.433,0.983,4.016,0.682,0.785,0.207,1.242,0.176,506.899000
"{\Delta \it pstS}, P_{114}:{\it mgdh}",16.353,90.186,291.198,21.63300,80.88400,11.412,0.898,9.826,1.012,4.143,0.708,0.845,0.215,1.291,0.18,530.784000
"{\Delta \it pstS}, P_{114}:{\it mgdh}",16.11,88.832,287.831,21.55000,80.41500,11.271,0.891,9.686,1,4.113,0.7,0.823,0.21,1.273,0.177,524.882000
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Genotype,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Other REE
wt,10.99,73.21,216.01,17.62267,63.58767,9.08,0.71,7.65,0.77,3.06,0.51,0.33,0.15,0.92,0.13,23.323000
