Genotype,Pulp Density,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Tm,Yb,Lu,Total REE (μg),Average Total REE,Fractional Improvement,µg/g leached
wt,1,16.01,66.06,225.79,17.38,68.53,10.36,0.86,9.34,1.01,4.37,0.77,0.25,1.51,0.21,422.45,,,
wt,1,16.42,67.68,229.44,17.72,69.52,10.68,0.86,9.48,1.04,4.45,0.78,0.26,1.56,0.22,430.11,,,
wt,1,13.36,54.83,187.61,14.23,56.04,8.51,0.75,7.69,0.85,3.68,0.64,0.21,1.3,0.18,349.88,400.813,0.000,
\Delta {\it pstS},1,16.99,82.98,284.31,19.71,75.51,11.44,0.96,10.35,1.1,4.71,0.82,0.25,1.51,0.22,510.86,,,
\Delta {\it pstS},1,19.63,99.61,332.27,23.68,89.7,13.37,1.1,12.33,1.3,5.51,0.95,0.29,1.82,0.26,601.82,,,
\Delta {\it pstS},1,19.59,99.28,333.81,23.54,89.68,13.33,1.1,12.21,1.29,5.49,0.95,0.29,1.77,0.24,602.57,571.750,0.426,
"\Delta {\it pstS}, \n P_{112}:{\it mgdh}",1,18.9,101.08,356.05,24.15,91.37,13.57,1.17,12.33,1.3,5.44,0.92,0.27,1.75,0.25,628.55,,,
"\Delta {\it pstS}, \n P_{112}:{\it mgdh}",1,20.48,109.21,391.12,25.96,97.81,14.53,1.18,13.21,1.38,5.77,1,0.3,1.88,0.26,684.09,,,
"\Delta {\it pstS}, \n P_{112}:{\it mgdh}",1,23.06,122.92,437.23,29.24,110.71,16.61,1.33,15.09,1.58,6.52,1.13,0.36,2.14,0.31,768.23,693.623,0.731,
wt,10,11.08,73.311,215.248,17.674,63.378,9.053,0.712,7.672,0.773,3.077,0.514,0.152,0.927,0.13,403.701,,,
wt,10,11.166,74.605,219.973,17.893,64.915,9.25,0.721,7.785,0.787,3.108,0.524,0.155,0.947,0.133,411.962,,,
wt,10,10.737,71.715,212.815,17.301,62.47,8.933,0.696,7.489,0.755,3.004,0.499,0.149,0.9,0.127,397.59,404.418,0.000,
\Delta {\it pstS},10,17.465,95.574,303.51,23.074,86.399,12.247,0.953,10.514,1.077,4.437,0.762,0.227,1.392,0.194,557.825,,,
\Delta {\it pstS},10,17.214,95.989,304.687,23.377,87.692,12.212,0.972,10.484,1.075,4.401,0.751,0.229,1.376,0.191,560.65,,,
\Delta {\it pstS},10,14.141,82.481,258.822,20.061,73.569,10.462,0.831,8.997,0.922,3.744,0.641,0.194,1.167,0.163,476.195,531.557,0.314,
"\Delta {\it pstS}, \n P_{112}:{\it mgdh}",10,21.501,107.979,367.161,26.167,98.297,14.081,1.129,12.226,1.286,5.361,0.929,0.283,1.717,0.237,658.354,,,
"\Delta {\it pstS}, \n P_{112}:{\it mgdh}",10,19.201,96.366,327.838,23.496,87.977,12.526,1,11.011,1.156,4.795,0.827,0.254,1.517,0.211,588.175,,,
"\Delta {\it pstS}, \n P_{112}:{\it mgdh}",10,20.269,100.298,338.525,24.421,91.008,13.058,1.041,11.395,1.19,4.967,0.859,0.264,1.574,0.219,609.088,618.539,0.529,
,,,,,,,,,,,,,,,,,,,
Mineral sand,Total,149.0,729.0,1445.0,174.0,611.0,94.3,10.2,61.5,7.6,36.4,6.5,2.2,14.5,2.3,3343.4,,,
,,,,,,,,,,,,,,,,,,,
% leached,,,,,,,,,,,,,,,,,,,
Genotype,Pulp Density,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Tm,Yb,Lu,Total REE (%),Average Total REE (%),Fractional Improvement over Wild-type,pH
wt,1,10.7,9.1,15.6,10.0,11.2,11.0,8.5,15.2,13.3,12.0,11.9,11.3,10.4,9.3,12.6,,,2.33
wt,1,11.0,9.3,15.9,10.2,11.4,11.3,8.5,15.4,13.7,12.2,12.1,11.7,10.8,9.7,12.9,,,2.33
wt,1,9.0,7.5,13.0,8.2,9.2,9.0,7.4,12.5,11.2,10.1,9.9,9.5,9.0,8.0,10.5,11.988,0.000,2.32
\Delta {\it pstS},1,11.4,11.4,19.7,11.3,12.4,12.1,9.5,16.8,14.5,12.9,12.7,11.3,10.4,9.7,15.3,,,2.15
\Delta {\it pstS},1,13.2,13.7,23.0,13.6,14.7,14.2,10.8,20.0,17.1,15.1,14.7,13.1,12.6,11.5,18.0,,,2.13
\Delta {\it pstS},1,13.1,13.6,23.1,13.5,14.7,14.1,10.8,19.9,17.0,15.1,14.7,13.1,12.2,10.6,18.0,17.101,0.426,2.14
"\Delta {\it pstS}, \n P_{112}:{\it mgdh}",1,12.7,13.9,24.6,13.9,15.0,14.4,11.5,20.0,17.1,14.9,14.2,12.2,12.1,11.1,18.8,,,1.96
"\Delta {\it pstS}, \n P_{112}:{\it mgdh}",1,13.7,15.0,27.1,14.9,16.0,15.4,11.6,21.5,18.2,15.9,15.5,13.5,13.0,11.5,20.5,,,1.98
"\Delta {\it pstS}, \n P_{112}:{\it mgdh}",1,15.5,16.9,30.3,16.8,18.1,17.6,13.1,24.5,20.8,17.9,17.5,16.2,14.8,13.7,23.0,20.746,0.731,1.96
wt,10,7.4,10.1,14.9,10.2,10.4,9.6,7.0,12.5,10.2,8.5,8.0,6.8,6.4,5.8,12.1,,,2.32
wt,10,7.5,10.2,15.2,10.3,10.6,9.8,7.1,12.7,10.4,8.5,8.1,7.0,6.5,5.9,12.3,,,2.31
wt,10,7.2,9.8,14.7,9.9,10.2,9.5,6.9,12.2,9.9,8.3,7.7,6.7,6.2,5.6,11.9,12.096,0.000,2.31
\Delta {\it pstS},10,11.7,13.1,21.0,13.3,14.1,13.0,9.4,17.1,14.2,12.2,11.8,10.2,9.6,8.6,16.7,,,2.05
\Delta {\it pstS},10,11.6,13.2,21.1,13.4,14.4,13.0,9.6,17.0,14.2,12.1,11.6,10.3,9.5,8.5,16.8,,,2.09
\Delta {\it pstS},10,9.5,11.3,17.9,11.5,12.0,11.1,8.2,14.6,12.1,10.3,9.9,8.7,8.0,7.2,14.2,15.899,0.314,2.1
"\Delta {\it pstS}, \n P_{112}:{\it mgdh}",10,14.4,14.8,25.4,15.0,16.1,14.9,11.1,19.9,16.9,14.7,14.4,12.7,11.8,10.5,19.7,,,1.91
"\Delta {\it pstS}, \n P_{112}:{\it mgdh}",10,12.9,13.2,22.7,13.5,14.4,13.3,9.9,17.9,15.2,13.2,12.8,11.4,10.5,9.3,17.6,,,1.93
